"Comment","Designator","Footprint","LCSC Part #"
"470nF","C6","C_0402_1005Metric","C47339"
"1uF","C11,C14,C17,C18,C19,C22,C23,C24,C2,C3,C7,C10,C12,C13","C_0402_1005Metric","C52923"
"10uF","C16,C29,C30,C4","C_0603_1608Metric","C96446"
"4.7uF","C25","C_0402_1005Metric","C23733"
"10nF","C26,C28,C8,C9","C_0402_1005Metric","C15195"
"100nF","C27,C31,C32,C33,C34,C35,C36,C37","C_0402_1005Metric","C307331"
"LED","D1","LED_0805_2012Metric","C84256"
"1N5820","D11","D_SMA","C8678"
"D","D14,D6,D7,D8,D12,D13","D_SMA","C8678"
"USB_B_Micro","J12","FRAMATOME_10118194-0001LF_fixed_bridges","C132563"
"AO3400A","Q1,Q2,Q3,Q4,Q7","SOT-23","C20917"
"Q_NPN_BEC","Q5,Q6","SOT-23","C2150"
"100k","R3","R_0402_1005Metric","C25741"
"4k7 0603","R6,R7","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","C23162"
"100 0603","R8,R9","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","C22775"
"470","R20,R21,R1","R_0402_1005Metric","C25117"
"22","R22,R23,R24,R26,R5","R_0402_1005Metric","C25091"
"4k7","R25,R27","R_0402_1005Metric","C25900"
"10k","R28,R29,R30,R31,R32,R33,R35,R2,R10,R11,R12,R13,R17","R_0402_1005Metric","C25744"
"1k","R34,R37,R38,R18,R19","R_0402_1005Metric","C11702"
"100","R36,R39,R14,R15,R16,R44,R45","R_0402_1005Metric","C25076"
"10k 0603","R40","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","C25804"
"DNP 0603","R41","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","C25804"
"2.2","R42","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","C22939"
"0 0603","R43","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","C22939"
"SW_Push","SW2,SW1,SW4","SW_TACTILE_5.1MM_TS-1187A-C-D-B","C318884"
"STM32G030C8T6","U1","LQFP-48_7x7mm_P0.5mm","C529329"
"MAX31855KASA","U3,U4","SOIC-8_3.9x4.9mm_P1.27mm","C52028"
"AMS1117-3.3","U5","SOT-223-3_TabPin2","C6186"
"XL1509-5.0E1","U7","SOIC-8_5.23x5.23mm_P1.27mm","C61063"
"CH340C","U8","SOIC-16_3.9x9.9mm_P1.27mm","C84681"
"W25Q128JVSIQ","U9","SOIC-8_5.275x5.275mm_P1.27mm","C97521"
